model_name,clustering_algo,distance_metric,linkage,threshold,total_tp,total_fn,total_fp,precision,recall,f1
Facenet512,DBSCAN+AHC,cosine,average,0.31,871,165,6,0.9931584948688712,0.8407335907335908,0.9106116048092002
Facenet512,DBSCAN+AHC,cosine,average,0.32,884,152,6,0.9932584269662922,0.8532818532818532,0.9179646936656282
Facenet512,DBSCAN+AHC,cosine,average,0.33,900,136,9,0.99009900990099,0.8687258687258688,0.9254498714652956
Facenet512,DBSCAN+AHC,cosine,average,0.34,910,126,10,0.9891304347826086,0.8783783783783784,0.930470347648262
Facenet512,DBSCAN+AHC,cosine,average,0.35,920,116,13,0.9860664523043944,0.888030888030888,0.9344845099035042
Facenet512,DBSCAN+AHC,cosine,complete,0.2,517,519,0,1.0,0.499034749034749,0.6658081133290406
Facenet512,DBSCAN+AHC,cosine,complete,0.21,528,508,0,1.0,0.5096525096525096,0.6751918158567776
Facenet512,DBSCAN+AHC,cosine,complete,0.22,539,497,0,1.0,0.5202702702702703,0.6844444444444445
Facenet512,DBSCAN+AHC,cosine,complete,0.23,551,485,0,1.0,0.5318532818532818,0.6943919344675488
Facenet512,DBSCAN+AHC,cosine,complete,0.24,562,474,0,1.0,0.5424710424710425,0.7033792240300375
Facenet512,DBSCAN+AHC,cosine,complete,0.25,571,465,0,1.0,0.5511583011583011,0.7106409458618544
Facenet512,DBSCAN+AHC,cosine,complete,0.26,581,455,0,1.0,0.5608108108108109,0.7186147186147186
Facenet512,DBSCAN+AHC,cosine,complete,0.27,585,451,1,0.9982935153583616,0.5646718146718147,0.721331689272503
Facenet512,DBSCAN+AHC,cosine,complete,0.28,604,432,2,0.9966996699669968,0.583011583011583,0.7356881851400731
Facenet512,DBSCAN+AHC,cosine,complete,0.29,622,414,2,0.9967948717948718,0.6003861003861004,0.7493975903614458
Facenet512,DBSCAN+AHC,cosine,complete,0.3,634,402,2,0.9968553459119496,0.611969111969112,0.7583732057416267
Facenet512,DBSCAN+AHC,cosine,complete,0.31,650,386,2,0.9969325153374232,0.6274131274131274,0.7701421800947866
Facenet512,DBSCAN+AHC,cosine,complete,0.32,666,370,2,0.997005988023952,0.6428571428571429,0.7816901408450705
Facenet512,DBSCAN+AHC,cosine,complete,0.33,687,349,2,0.9970972423802612,0.6631274131274131,0.7965217391304348
Facenet512,DBSCAN+AHC,cosine,complete,0.34,693,343,3,0.9956896551724138,0.668918918918919,0.8002309468822171
Facenet512,DBSCAN+AHC,cosine,complete,0.35,705,331,2,0.9971711456859972,0.6805019305019305,0.8089500860585197
Facenet512,DBSCAN+AHC,cosine,average,0.2,591,445,0,1.0,0.5704633204633205,0.7264904732636756
Facenet512,DBSCAN+AHC,cosine,average,0.21,612,424,0,1.0,0.5907335907335908,0.7427184466019419
Facenet512,DBSCAN+AHC,cosine,average,0.22,629,407,0,1.0,0.6071428571428571,0.7555555555555554
Facenet512,DBSCAN+AHC,cosine,average,0.23,659,377,0,1.0,0.6361003861003861,0.7775811209439527
Facenet512,DBSCAN+AHC,cosine,average,0.24,677,359,0,1.0,0.6534749034749034,0.7904261529480443
Facenet512,DBSCAN+AHC,cosine,average,0.25,719,317,1,0.9986111111111112,0.694015444015444,0.8189066059225513
Facenet512,DBSCAN+AHC,cosine,average,0.26,743,293,1,0.9986559139784946,0.7171814671814671,0.8348314606741573
Facenet512,DBSCAN+AHC,cosine,average,0.27,761,275,1,0.9986876640419948,0.7345559845559846,0.8464961067853172
Facenet512,DBSCAN+AHC,cosine,average,0.28,791,245,1,0.9987373737373736,0.7635135135135135,0.8654266958424506
Facenet512,DBSCAN+AHC,cosine,average,0.29,827,209,3,0.9963855421686748,0.7982625482625483,0.8863879957127545
Facenet512,DBSCAN+AHC,cosine,average,0.3,849,187,3,0.9964788732394366,0.8194980694980695,0.899364406779661
